# Used to loads objects like Boxes and planes
#
# Shape,	Type,	x,	y,	z,	mass,	width,	height,	depth,	red,	green,	blue,	alpha,	image
# Normal Targets
Box	Target	0.0	5.0	-20.0	100.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	10.0	15.0	20.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	50.0	0.0	-40.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	50.0	0.0	-60.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	30.0	40.0	38.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-50.0	10.0	-45.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-10.0	7.5	-15.2	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-0.0	0.0	-60.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	7.1	6.7	12.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	34.1	15.7	22.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-13.1	3.1	-42.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-26.7	15.7	42.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-6.7	5.7	29.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	41.8	6.3	-12.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-31.2	1.7	12.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	-21.0	0.2	38.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	25.0	3.5	-15.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
Box	Target	33.0	12.0	-30.0	0.0	2.2	2.2	2.2	0	0	0	255	target.png
#
#
# Negative Target
Box	NonTarget	0.0	5.0	-20.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	40.0	0.0	30.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-40.0	15.0	-40.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	34.0	5.0	42.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	43.0	5.0	-50.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	60.0	11.0	-17.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	10.0	5.0	-5.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	18.0	0.0	-1.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-34.0	3.2	-21.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-18.0	2.2	31.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-24.0	7.2	26.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-4.0	7.2	11.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-14.0	5.0	18.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	5.0	3.0	-25.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-25.0	7.0	-25.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	50.0	9.0	-45.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-25.2	1.7	-18.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	25.2	1.7	-28.5	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
Box	NonTarget	-25.2	1.7	8.0	0.0	2.2	2.2	2.2	12	44	190	255	wrongTarget.png
